No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
1198,Acsa,Low,Combined,6,3,NA,35,1,NA,NA,NA,NA,NA,NA,64.89,0.02,9.45,11.49
1202,Acne,High,Combined,10,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1203,Acne,High,Combined,9,4,3,21,0,NA,NA,NA,NA,16.55,NA,81.46,0.54,16.55,8
1207,Acne,High,Combined,10,4,3,21,0,78,100,78,0.56,NA,7.89,78,0.56,16.09,7.89
1208,Acru,High,Combined,1,4,3,21,0,NA,NA,NA,NA,11.36,NA,46.69,0.24,11.36,7
1211,Acru,High,Combined,1,4,3,21,0,24,68,35.29,0.54,NA,9.5,35.29,0.54,14.88,9.5
1213,Acne,High,Combined,9,4,6,42,0,NA,NA,NA,NA,9.86,NA,79.05,-0.02,9.86,6.93
1219,Acru,High,Combined,2,4,3,21,0,33,100,33,0.3,NA,7.19,33,0.3,12.11,7.19
1220,Acru,High,Combined,3,4,3,21,0,NA,NA,NA,NA,11.48,NA,46.13,0.25,11.48,6.98
1225,Acru,High,Combined,2,4,6,42,0,NA,NA,NA,NA,10.9,NA,41.75,0.2,10.9,6.72
1226,Acsa,High,Combined,6,4,3,21,0,55,100,55,0.26,NA,12.48,55,0.26,12.07,12.48
1233,Acsa,High,Combined,5,4,3,21,0,NA,NA,NA,NA,18.41,NA,79.17,0.49,18.41,13.89
1236,Acru,High,Combined,1,4,6,42,0,NA,NA,NA,NA,9.83,NA,48.37,0.09,9.83,6.81
1238,Acsa,High,Combined,6,4,6,42,0,NA,NA,NA,NA,14.38,NA,65.61,0.46,14.38,12.81
1244,Acsa,High,Combined,6,4,9,63,0,67,100,67,0.15,NA,12.83,67,0.15,11.05,12.83
1249,Acru,High,Combined,3,4,6,42,0,50,87,57.47,-0.06,NA,6.08,57.47,-0.06,7.69,6.08
1250,Acsa,High,Combined,7,4,3,21,0,NA,NA,NA,NA,20.47,NA,79.17,0.49,20.47,13.81
1256,Acsa,High,Combined,5,4,3,21,0,68,100,68,0.48,NA,14.09,68,0.48,15.54,14.09
1261,Acru,High,Combined,1,4,9,63,0,NA,NA,NA,NA,11.09,NA,42.39,0.21,11.09,7.07
1266,Acne,High,Combined,9,4,9,63,0,NA,NA,NA,NA,22.61,NA,82.24,0.55,22.61,8.49
1272,Acru,High,Combined,3,4,9,63,0,65,100,65,0.14,NA,7.56,65,0.14,10.7,7.56
1284,Acru,High,Combined,3,4,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1285,Acsa,High,Combined,6,4,6,42,0,63,100,63,0.53,NA,12.49,63,0.53,14.91,12.49
1286,Acsa,High,Combined,7,4,6,42,0,69,100,69,0.13,NA,13.69,69,0.13,11.13,13.69
1303,Acru,High,Combined,3,4,9,63,0,NA,NA,NA,NA,11.16,NA,43.47,0.22,11.16,7.19
1308,Acne,High,Combined,10,4,6,42,0,85,100,85,0.63,NA,2.8,85,0.63,16.32,2.8
1315,Acsa,High,Combined,7,4,9,63,0,81,100,81,0.27,NA,12.48,81,0.27,13.74,12.48
1318,Acru,High,Combined,1,4,NA,35,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1319,Acsa,High,Combined,7,4,9,63,0,NA,NA,NA,NA,19.44,NA,79.17,0.49,19.44,13.81
1336,Acne,High,Combined,11,4,6,42,0,83,100,83,0.12,NA,7.37,83,0.12,10.78,7.37
1343,Acsa,High,Combined,5,4,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1347,Acru,High,Combined,1,4,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1353,Acru,High,Combined,2,4,3,21,0,NA,NA,NA,NA,11.73,NA,40.94,0.27,11.73,7.58
1355,Acru,High,Combined,2,4,6,42,0,54,100,54,0.57,NA,4.29,54,0.57,13.82,4.29
1356,Acne,High,Combined,11,4,9,63,0,90,100,90,0.17,NA,3.39,90,0.17,11.97,3.39
1359,Acne,High,Combined,9,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1364,Acsa,High,Combined,7,4,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1368,Acru,High,Combined,2,4,9,63,0,59,98,60.2,0.35,NA,6.89,60.2,0.35,12.45,6.89
1372,Acru,High,Combined,3,4,3,21,0,29,78,37.18,0.14,NA,2.78,37.18,0.14,10.42,2.78
1375,Acne,High,Combined,9,4,3,21,0,74,100,74,0.23,NA,5.27,74,0.23,11.27,5.27
1377,Acne,High,Combined,11,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1381,Acru,High,Combined,2,4,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1414,Acru,High,Combined,2,4,3,21,0,26,54,48.15,0.4,NA,4.2,48.15,0.4,12.79,4.2
1416,Acsa,High,Combined,6,4,3,21,0,NA,NA,NA,NA,13.62,NA,65.01,0.37,13.62,13.23
1424,Acne,High,Combined,11,4,3,21,0,NA,NA,NA,NA,14.22,NA,77.71,0.44,14.22,7.99
1426,Acru,High,Combined,3,4,6,42,0,NA,NA,NA,NA,11.14,NA,43.46,0.22,11.14,7.17
1429,Acne,High,Combined,10,4,9,63,0,88,100,88,0.27,NA,9.75,88,0.27,14.4,9.75
1437,Acne,High,Combined,11,4,6,42,0,NA,NA,NA,NA,12.59,NA,78.49,0.3,12.59,8.11
1441,Acsa,High,Combined,6,4,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1445,Acru,High,Combined,3,4,6,42,0,41,100,41,-0.01,NA,14.2,41,-0.01,9.36,14.2
1453,Acru,High,Combined,2,4,6,42,0,NA,NA,NA,NA,10.45,NA,49.22,0.18,10.45,6.98
1456,Acne,High,Combined,10,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1457,Acsa,High,Combined,5,4,6,42,0,NA,NA,NA,NA,12.2,NA,62.17,0.26,12.2,12.52
1460,Acsa,High,Combined,7,4,6,42,0,NA,NA,NA,NA,10.54,NA,65.05,0.17,10.54,11.97
1464,Acne,High,Combined,9,4,6,42,0,79,100,79,0.3,NA,11.33,79,0.3,13.55,11.33
1470,Acru,High,Combined,1,4,3,21,0,NA,NA,NA,NA,12.49,NA,50.92,0.34,12.49,7.16
1471,Acsa,High,Combined,5,4,9,63,0,NA,NA,NA,NA,9.25,NA,68.29,0.06,9.25,11.7
1472,Acsa,High,Combined,6,4,3,21,0,60,100,60,0.37,NA,11.69,60,0.37,13.03,11.69
1486,Acsa,High,Combined,5,4,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1490,Acsa,High,Combined,5,4,3,21,0,NA,NA,NA,NA,13.97,NA,66.34,0.42,13.97,12.5
1494,Acne,High,Combined,9,4,9,63,0,85,100,85,0.55,NA,9.27,85,0.55,20.41,9.27
1503,Acne,High,Combined,11,4,9,63,0,NA,NA,NA,NA,16.15,NA,81.61,0.54,16.15,7.87
1504,Acsa,High,Combined,5,4,6,42,0,62,100,62,0.31,NA,11.82,62,0.31,12.41,11.82
1528,Acru,High,Combined,1,4,9,63,0,50,100,50,0.25,NA,7.1,50,0.25,11.8,7.1
1536,Acne,High,Combined,11,4,NA,33,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1542,Acne,High,Combined,11,4,3,21,0,67,100,67,0.48,NA,6.13,67,0.48,13.52,6.13
1545,Acne,High,Combined,10,4,3,21,0,NA,NA,NA,NA,12.5,NA,77.77,0.29,12.5,7.35
1546,Acne,High,Combined,9,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1553,Acne,High,Combined,10,4,6,42,0,NA,NA,NA,NA,6.38,NA,54.29,-0.04,6.38,7.31
1554,Acsa,High,Combined,7,4,3,21,0,65,100,65,0.24,NA,12.36,65,0.24,11.6,12.36
1566,Acsa,High,Combined,6,4,6,42,0,NA,NA,NA,NA,17.37,NA,79.17,0.49,17.37,13.82
1572,Acru,High,Combined,2,4,9,63,0,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1578,Acne,High,Combined,11,4,6,42,0,75,100,75,-0.08,NA,10.37,75,-0.08,7.14,10.37
1579,Acru,High,Combined,1,4,6,42,0,44,100,44,0.05,NA,4.71,44,0.05,9.43,4.71
1588,Acsa,High,Combined,5,4,9,63,0,85,100,85,0.38,NA,14.15,85,0.38,15.35,14.15
1590,Acsa,High,Combined,7,4,6,42,0,65,100,65,0.37,NA,13.29,65,0.37,13.47,13.29
1593,Acsa,High,Combined,5,4,9,63,0,NA,NA,NA,NA,15.32,NA,74.73,0.46,15.32,13.03
1595,Acne,High,Combined,10,4,9,63,0,NA,NA,NA,NA,14.75,NA,80.2,0.48,14.75,8.22
1596,Acne,High,Combined,10,4,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1597,Acne,High,Combined,9,4,3,21,0,NA,NA,NA,NA,2.71,NA,55.68,-0.04,2.71,7.91
1600,Acsa,High,Combined,7,4,9,63,0,67,100,67,-0.01,NA,13.17,67,-0.01,9.75,13.17
1602,Acru,High,Combined,3,5,9,63,0,41,100,41,0.38,NA,8.35,41,0.38,13.03,8.35
1610,Acne,High,Combined,11,5,9,63,0,93,100,93,0.11,NA,6.65,93,0.11,10.91,6.65
1611,Acru,High,Combined,2,5,NA,23,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1623,Acru,High,Combined,2,5,3,21,0,NA,NA,NA,NA,12.21,NA,49.65,0.29,12.21,7.44
1625,Acru,High,Combined,2,5,6,42,0,25,67,37.31,0.56,NA,8.76,37.31,0.56,14.63,8.76
1632,Acne,High,Combined,11,5,NA,21,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1634,Acsa,High,Combined,7,5,NA,28,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1639,Acru,High,Combined,1,5,9,63,0,NA,NA,NA,NA,12.46,NA,51.28,0.33,12.46,7.07
1641,Acsa,High,Combined,6,5,9,63,0,NA,NA,NA,NA,14.54,NA,65.66,0.47,14.54,13.12
1643,Acru,High,Combined,2,5,NA,26,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1645,Acsa,High,Combined,6,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1653,Acsa,High,Combined,5,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1663,Acne,High,Combined,9,5,6,42,0,NA,NA,NA,NA,15.26,NA,80.3,0.49,15.26,8.15
1664,Acne,High,Combined,9,5,9,63,0,NA,NA,NA,NA,21.93,NA,82.24,0.55,21.93,8.49
1666,Acsa,High,Combined,6,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1667,Acsa,High,Combined,5,5,3,21,0,57,100,57,0.51,NA,14.52,57,0.51,15.68,14.52
1671,Acsa,High,Combined,5,5,6,42,0,NA,NA,NA,NA,16.18,NA,78.72,0.52,16.18,13.18
1679,Acsa,High,Combined,5,5,9,63,0,72,100,72,0.36,NA,15.09,72,0.36,14.05,15.09
1688,Acsa,High,Combined,7,5,3,21,0,NA,NA,NA,NA,7.14,NA,56.95,0.04,7.14,10.33
1689,Acne,High,Combined,9,5,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1692,Acne,High,Combined,10,5,3,21,0,68,88,77.27,0.35,NA,6.32,77.27,0.35,12.34,6.32
1693,Acsa,High,Combined,6,5,3,21,0,NA,NA,NA,NA,10.79,NA,63.33,0.18,10.79,11.85
1703,Acsa,High,Combined,7,5,3,21,0,59,77,76.62,0.43,NA,12.2,76.62,0.43,14.39,12.2
1704,Acsa,High,Combined,6,5,6,42,0,70,100,70,0.23,NA,12.7,70,0.23,12.02,12.7
1706,Acne,High,Combined,11,5,3,21,0,NA,NA,NA,NA,12.75,NA,76.55,0.29,12.75,8.09
1711,Acsa,High,Combined,5,5,6,42,0,72,100,72,0.27,NA,13.73,72,0.27,13.2,13.73
1716,Acne,High,Combined,10,5,6,42,0,80,100,80,-0.04,NA,6.94,80,-0.04,9.25,6.94
1719,Acru,High,Combined,2,5,9,63,0,61,100,61,-0.1,NA,5.94,61,-0.1,7.89,5.94
1728,Acsa,High,Combined,5,5,NA,55,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1731,Acne,High,Combined,9,5,3,21,0,71,100,71,0.3,NA,7.06,71,0.3,12.38,7.06
1740,Acsa,High,Combined,6,5,9,63,0,81,100,81,0.1,NA,14.74,81,0.1,12.53,14.74
1741,Acru,High,Combined,2,5,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1743,Acne,High,Combined,10,5,9,63,0,90,100,90,0.14,NA,9.05,90,0.14,13.29,9.05
1754,Acne,High,Combined,10,5,NA,24,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1760,Acne,High,Combined,9,5,6,42,0,78,100,78,0.62,NA,8.88,78,0.62,16.96,8.88
1763,Acru,High,Combined,3,5,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1765,Acne,High,Combined,11,5,6,42,0,NA,NA,NA,NA,16.01,NA,81.45,0.53,16.01,7.91
1768,Acne,High,Combined,11,5,9,63,0,NA,NA,NA,NA,10.1,NA,78.39,0.03,10.1,6.87
1771,Acru,High,Combined,2,5,3,21,0,35,100,35,0.28,NA,8.99,35,0.28,11.93,8.99
1772,Acne,High,Combined,10,5,3,21,0,NA,NA,NA,NA,14.28,NA,78.15,0.46,14.28,7.98
1778,Acru,High,Combined,3,5,3,21,0,NA,NA,NA,NA,13.45,NA,46.38,0.42,13.45,7.12
1779,Acne,High,Combined,11,5,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1783,Acru,High,Combined,1,5,NA,44,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1784,Acne,High,Combined,10,5,6,42,0,NA,NA,NA,NA,17.97,NA,82.21,0.56,17.97,8.31
1785,Acru,High,Combined,1,5,6,42,0,NA,NA,NA,NA,10.52,NA,48.22,0.18,10.52,6.71
1792,Acsa,High,Combined,7,5,6,42,0,NA,NA,NA,NA,11.26,NA,64.37,0.18,11.26,13.32
1800,Acru,High,Combined,2,5,6,42,0,NA,NA,NA,NA,9.62,NA,47.45,0.08,9.62,7.67
1811,Acsa,High,Combined,7,5,9,63,0,NA,NA,NA,NA,15.78,NA,77.89,0.5,15.78,13.36
1814,Acne,High,Combined,9,5,9,63,0,99,100,99,0.12,NA,8.48,99,0.12,11.64,8.48
1820,Acne,High,Combined,11,5,3,21,0,78,100,78,0.31,NA,4.34,78,0.31,12.17,4.34
1821,Acsa,High,Combined,7,5,NA,40,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1829,Acru,High,Combined,3,5,3,21,0,51,100,51,0.39,NA,8.59,51,0.39,13.37,8.59
1832,Acne,High,Combined,11,5,6,42,0,84,100,84,0.64,NA,8.36,84,0.64,20.21,8.36
1836,Acne,High,Combined,9,5,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1849,Acsa,High,Combined,6,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1859,Acsa,High,Combined,7,5,3,21,0,NA,NA,NA,NA,18.88,NA,79.17,0.49,18.88,13.81
1866,Acne,High,Combined,10,5,9,63,0,NA,NA,NA,NA,13.12,NA,77.5,0.36,13.12,7.5
1868,Acru,High,Combined,2,5,9,63,0,NA,NA,NA,NA,9.56,NA,46.65,0.08,9.56,7.23
1900,Acne,High,Combined,11,5,9,63,0,95,100,95,0.23,NA,6.27,95,0.23,12.5,6.27
1902,Acne,High,Combined,9,5,3,21,0,NA,NA,NA,NA,9.76,NA,76.62,0,9.76,6.93
1910,Acru,High,Combined,1,5,3,21,0,49,100,49,-0.09,NA,9.62,49,-0.09,7.08,9.62
1911,Acne,High,Combined,10,5,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
1913,Acsa,High,Combined,5,5,3,21,0,NA,NA,NA,NA,10.04,NA,65.63,0.11,10.04,11.82
1916,Acru,High,Combined,1,5,6,42,0,47,100,47,-0.02,NA,5.36,47,-0.02,8.26,5.36
1919,Acru,High,Combined,3,5,6,42,0,NA,NA,NA,NA,12.67,NA,47.86,0.36,12.67,6.54
1926,Acsa,High,Combined,6,5,9,63,0,NA,NA,NA,NA,10.95,NA,64.66,0.17,10.95,12.89
1927,Acru,High,Combined,1,5,9,63,0,44,87,50.57,0.09,NA,5.54,50.57,0.09,9.82,5.54
1937,Acru,High,Combined,3,5,9,63,0,NA,NA,NA,NA,10.26,NA,44.44,0.15,10.26,5.89
1938,Acru,High,Combined,1,5,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1939,Acru,High,Combined,3,5,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1958,Acru,High,Combined,1,5,3,21,0,NA,NA,NA,NA,10.62,NA,43.73,0.18,10.62,6.61
1982,Acru,High,Combined,1,5,3,21,0,36,76,47.37,-0.03,NA,8.61,47.37,-0.03,6.7,8.61
1987,Acsa,High,Combined,7,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
1988,Acsa,High,Combined,7,5,6,42,0,74,87,85.06,0.11,NA,12.69,85.06,0.11,12.14,12.69
1990,Acru,High,Combined,3,5,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
1991,Acne,High,Combined,10,5,3,21,0,72,100,72,0.22,NA,4.03,72,0.22,11.26,4.03
1994,Acsa,High,Combined,5,5,3,21,0,63,100,63,0.44,NA,13.79,63,0.44,14.55,13.79
1997,Acru,High,Combined,3,5,3,21,0,NA,NA,NA,NA,11.35,NA,45.52,0.24,11.35,7.01
1998,Acsa,High,Combined,6,5,3,21,0,58,100,58,0.23,NA,12.7,58,0.23,11.85,12.7
2010,Acsa,High,Combined,6,6,6,42,0,NA,NA,NA,NA,11.48,NA,64.79,0.18,11.48,13.37
2011,Acne,High,Combined,9,6,6,42,0,NA,NA,NA,NA,12.4,NA,79.04,0.28,12.4,7.7
2013,Acne,High,Combined,11,6,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2016,Acsa,High,Combined,5,6,6,42,0,NA,NA,NA,NA,16.9,NA,79.25,0.49,16.9,13.45
2020,Acsa,High,Combined,5,6,9,63,0,NA,NA,NA,NA,17.17,NA,79.17,0.49,17.17,13.77
2021,Acsa,High,Combined,6,6,6,42,0,68,100,68,0.53,NA,10.24,68,0.53,14.26,10.24
2023,Acru,High,Combined,2,6,9,63,0,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2025,Acsa,High,Combined,5,6,NA,37,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2027,Acsa,High,Combined,7,6,9,63,0,65,81,80.25,0.68,NA,16.94,80.25,0.68,18.17,16.94
2032,Acru,High,Combined,2,6,6,42,0,40,100,40,0.5,NA,7.49,40,0.5,13.83,7.49
2035,Acsa,High,Combined,6,6,9,63,0,84,100,84,0.71,NA,12.83,84,0.71,18.46,12.83
2038,Acne,High,Combined,10,6,6,42,0,76,100,76,0.22,NA,11.32,76,0.22,11.73,11.32
2042,Acru,High,Combined,2,6,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2044,Acru,High,Combined,2,6,3,21,0,NA,NA,NA,NA,11.3,NA,45.18,0.24,11.3,6.9
2050,Acne,High,Combined,9,6,9,63,0,NA,NA,NA,NA,8.88,NA,72.22,0.01,8.88,7.3
2051,Acne,High,Combined,10,6,9,63,0,89,100,89,-0.12,NA,6.85,89,-0.12,9.51,6.85
2059,Acne,High,Combined,11,6,3,21,0,NA,NA,NA,NA,10.4,NA,77.24,0.14,10.4,7.13
2060,Acsa,High,Combined,7,6,9,63,0,NA,NA,NA,NA,12.7,NA,68.19,0.26,12.7,12.96
2062,Acru,High,Combined,3,6,9,63,0,47,100,47,0.02,NA,10.71,47,0.02,8.72,10.71
2064,Acru,High,Combined,1,6,NA,29,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2071,Acsa,High,Combined,5,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2080,Acne,High,Combined,9,6,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2082,Acru,High,Combined,3,6,6,42,0,59,100,59,-0.06,NA,8.12,59,-0.06,7.19,8.12
2119,Acsa,High,Combined,7,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2120,Acru,High,Combined,3,6,9,63,0,NA,NA,NA,NA,10.9,NA,41.75,0.2,10.9,6.72
2135,Acne,High,Combined,11,6,6,42,0,NA,NA,NA,NA,15.06,NA,79.97,0.48,15.06,8.15
2147,Acsa,High,Combined,6,6,3,21,0,NA,NA,NA,NA,11.86,NA,66.83,0.23,11.86,12.95
2148,Acsa,High,Combined,7,6,3,21,0,59,85,69.41,0.11,NA,13.73,69.41,0.11,10.91,13.73
2162,Acsa,High,Combined,5,6,3,21,0,NA,NA,NA,NA,10.98,NA,64.66,0.17,10.98,12.88
2164,Acru,High,Combined,1,6,6,42,0,NA,NA,NA,NA,10.35,NA,42.37,0.17,10.35,5.67
2176,Acru,High,Combined,3,6,NA,35,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2184,Acru,High,Combined,1,6,9,63,0,NA,NA,NA,NA,11.31,NA,45.39,0.24,11.31,6.91
2191,Acru,High,Combined,3,6,3,21,0,35,100,35,0.14,NA,3.57,35,0.14,10.42,3.57
2194,Acsa,High,Combined,5,6,6,42,0,73,100,73,0.12,NA,10.43,73,0.12,9.5,10.43
2198,Acru,High,Combined,2,6,3,21,0,37,100,37,-0.01,NA,7.17,37,-0.01,8.34,7.17
2206,Acne,High,Combined,9,6,3,21,0,86,100,86,0.28,NA,6.61,86,0.28,12.46,6.61
2211,Acne,High,Combined,11,6,9,63,0,NA,NA,NA,NA,8.56,NA,72.69,-0.01,8.56,7.45
2215,Acsa,High,Combined,6,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2217,Acsa,High,Combined,6,6,3,21,0,56,100,56,0.44,NA,9.13,56,0.44,13.78,9.13
2221,Acne,High,Combined,10,6,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2228,Acru,High,Combined,1,6,NA,56,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2234,Acru,High,Combined,3,6,6,42,0,NA,NA,NA,NA,12.36,NA,51.46,0.33,12.36,7.19
2238,Acne,High,Combined,9,6,6,42,0,76,100,76,0.37,NA,9.36,76,0.37,13.59,9.36
2245,Acne,High,Combined,10,6,3,21,0,NA,NA,NA,NA,15.17,NA,79.96,0.48,15.17,8.16
2247,Acne,High,Combined,10,6,6,42,0,NA,NA,NA,NA,10.19,NA,76.95,0.07,10.19,7.81
2264,Acne,High,Combined,11,6,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2266,Acne,High,Combined,9,6,9,63,0,96,100,96,0.2,NA,6.91,96,0.2,12.53,6.91
2268,Acne,High,Combined,10,6,9,63,0,NA,NA,NA,NA,8.21,NA,69.53,-0.01,8.21,7.3
2273,Acsa,High,Combined,7,6,6,42,0,NA,NA,NA,NA,14.03,NA,66.31,0.43,14.03,12.59
2274,Acru,High,Combined,2,6,6,42,0,NA,NA,NA,NA,10.27,NA,44.44,0.16,10.27,5.56
2275,Acsa,High,Combined,7,6,6,42,0,75,100,75,0.19,NA,12.14,75,0.19,11.31,12.14
2277,Acsa,High,Combined,5,6,9,63,0,66,100,66,0.16,NA,16.44,66,0.16,12.2,16.44
2281,Acru,High,Combined,2,6,9,63,0,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2282,Acne,High,Combined,11,6,3,21,0,75,100,75,0.36,NA,7.55,75,0.36,12.87,7.55
2286,Acru,High,Combined,3,6,6,42,0,43,77,55.84,0.47,NA,9.51,55.84,0.47,14.58,9.51
2287,Acru,High,Combined,1,6,3,21,0,NA,NA,NA,NA,11.22,NA,43.96,0.22,11.22,6.99
2290,Acru,High,Combined,1,6,6,42,0,40,100,40,0.45,NA,10.66,40,0.45,14.58,10.66
2291,Acru,High,Combined,3,6,9,63,0,52,100,52,0.47,NA,6.45,52,0.47,13.67,6.45
2306,Acsa,High,Combined,5,6,9,63,0,NA,NA,NA,NA,16.47,NA,78.01,0.49,16.47,13.39
2314,Acsa,High,Combined,7,6,9,63,0,76,100,76,0.21,NA,13.59,76,0.21,12.84,13.59
2319,Acne,High,Combined,11,6,6,42,0,79,98,80.61,0.16,NA,10.06,80.61,0.16,12.67,10.06
2322,Acsa,High,Combined,6,6,6,42,0,NA,NA,NA,NA,19.97,NA,79.17,0.49,19.97,13.81
2323,Acsa,High,Combined,5,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2324,Acsa,High,Combined,6,6,9,63,0,NA,NA,NA,NA,12.43,NA,64.75,0.25,12.43,12.79
2328,Acru,High,Combined,2,6,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2329,Acru,High,Combined,1,6,9,63,0,49,100,49,0.23,NA,7.15,49,0.23,11.41,7.15
2337,Acsa,High,Combined,6,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2353,Acru,High,Combined,3,6,NA,41,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2355,Acne,High,Combined,9,6,NA,63,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2374,Acru,High,Combined,1,6,NA,26,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2375,Acsa,High,Combined,6,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2379,Acne,High,Combined,9,6,3,21,0,NA,NA,NA,NA,12.61,NA,78.8,0.29,12.61,8.47
2382,Acne,High,Combined,11,6,9,63,0,87,100,87,0.44,NA,7.83,87,0.44,16.57,7.83
2383,Acne,High,Combined,9,6,6,42,0,NA,NA,NA,NA,8.9,NA,72.22,0.01,8.9,7.33
2388,Acne,High,Combined,10,6,NA,30,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2389,Acne,High,Combined,9,6,9,63,0,NA,NA,NA,NA,10.78,NA,77.56,0.17,10.78,6.67
2391,Acru,High,Combined,1,6,9,63,0,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2392,Acru,High,Combined,2,6,NA,63,1,NA,NA,NA,NA,NA,NA,43.96,0.22,11.18,7.18
2393,Acne,High,Combined,10,6,3,21,0,70,100,70,0.36,NA,2.79,70,0.36,12.3,2.79
2394,Acsa,High,Combined,7,6,NA,63,1,NA,NA,NA,NA,NA,NA,66.45,0.42,13.73,12.49
2400,Acne,High,Combined,11,6,NA,36,1,NA,NA,NA,NA,NA,NA,81.82,0.55,17.47,8.44
2,Acne,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,7.9,NA,72.29,0.14,11.2,6.57
7,Acsa,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,11.53,NA,50.37,0.09,9.5,8.01
